dialog_id,turn_id,I,M,SE,SR,agency_overall,rationale_I,rationale_M,rationale_SE,rationale_SR,rationale_overall,asst_text,user_ctx,__source,__raw_response,__error,turno,interlocutor,prev_client_pt,agency_global
arrojado_v1_01,2.0,2.0,2.0,2.0,2.0,2.0,"A fala estabelece um plano claro de coleta de informações para, em seguida, montar uma sugestão de carteira personalizada e orientações, com passos concretos (perguntas específicas).",A fala justifica a necessidade das perguntas ao afirmar que precisa 'entender um pouco mais sobre o seu perfil e seus objetivos' para 'te orientar melhor' e 'montar uma sugestão de carteira personalizada'.,"A confiança é calibrada ao condicionar a capacidade de montar uma sugestão de carteira personalizada à resposta do usuário às perguntas: 'Se puder me responder essas perguntas, consigo montar...'.","A fala está perfeitamente alinhada ao pedido do usuário de ajuda para investimentos, buscando entender seu perfil, objetivos, prazo, valor, experiência e tolerância a risco antes de qualquer recomendação.","A fala do assistente é excelente, pois estabelece um plano claro e justificado para coletar informações essenciais, demonstra confiança calibrada ao condicionar a ajuda à obtenção desses dados e está totalmente alinhada à necessidade do usuário de receber orientação personalizada para investimentos.","Olá! Vai ser um prazer te ajudar com isso. Para te orientar melhor, preciso entender um pouco mais sobre o seu perfil e seus objetivos. Vamos começar com algumas perguntas rápidas? Qual o seu objetivo principal com os investimentos? Qual é o seu prazo para investir? Qual o valor que você pretende investir inicialmente? Você pretende investir mensalmente? Qual é o seu nível de experiência com investimentos? Você tem tolerância a risco? Se puder me responder essas perguntas, consigo montar uma sugestão de carteira personalizada e orientações para os próximos passos.","Olá, gostaria de ajuda para realizar investimentos.",arrojado_v1_01.tsv,"{
  ""I"": 2,
  ""M"": 2,
  ""SE"": 2,
  ""SR"": 2,
  ""agency_overall"": 2,
  ""rationale_I"": ""A fala estabelece um plano claro de coleta de informações para, em seguida, montar uma sugestão de carteira personalizada e orientações, com passos concretos (perguntas específicas)."",
  ""rationale_M"": ""A fala justifica a necessidade das perguntas ao afirmar que precisa 'entender um pouco mais sobre o seu perfil e seus objetivos' para 'te orientar melhor' e 'montar uma sugestão de carteira personalizada'."",
  ""rationale_SE"": ""A confiança é calibrada ao condicionar a capacidade de montar uma sugestão de carteira personalizada à resposta do usuário às perguntas: 'Se puder me responder essas perguntas, consigo montar...'."",
  ""rationale_SR"": ""A fala está perfeitamente alinhada ao pedido do usuário de ajuda para investimentos, buscando entender seu perfil, objetivos, prazo, valor, experiência e tolerância a risco antes de qualquer recomendação."",
  ""rationale_overall"": ""A fala do assistente é excelente, pois estabelece um plano claro e justificado para coletar informações essenciais, demonstra confiança calibrada ao condicionar a ajuda à obtenção desses dados e está totalmente alinhada à necessidade do usuário de receber orientação personalizada para investimentos.""
}",,2.0,Assistente,"Olá, gostaria de ajuda para realizar investimentos.",2.0
arrojado_v1_01,4.0,0.0,2.0,0.0,2.0,0.0,"A fala é vaga, sugerindo 'montar uma carteira agressiva e diversificada' e 'aproveitando as assimetrias de mercado e estratégias mais sofisticadas' sem oferecer passos concretos, percentuais ou condições.","A fala justifica claramente a sugestão de uma carteira agressiva e diversificada ao referenciar explicitamente o perfil do cliente: 'Com esse perfil — foco em longo prazo, patrimônio, alto retorno, tolerância elevada ao risco e experiência avançada — você está bem posicionado'.","A fala é excessivamente confiante ('Perfeito!', 'bem posicionado') e não apresenta quaisquer limites, condições ou ressalvas sobre a recomendação.","A fala demonstra alinhamento total ao perfil do cliente, reiterando seus objetivos e características ('foco em longo prazo, patrimônio, alto retorno, tolerância elevada ao risco e experiência avançada') e sugerindo uma abordagem compatível ('carteira agressiva e diversificada').","A nota global é 0 porque duas dimensões (Intencionalidade e Autoeficácia Calibrada) receberam pontuação 0, indicando falta de um plano acionável e ausência de limites ou condições na recomendação.","Perfeito! Com esse perfil — foco em longo prazo, patrimônio, alto retorno, tolerância elevada ao risco e experiência avançada — você está bem posicionado para montar uma carteira agressiva e diversificada, aproveitando as assimetrias de mercado e estratégias mais sofisticadas.","Meu objetivo principal é acumular patrimônio e buscar altos retornos. Num longo prazo, de 15 anos. Tenho 30 mil para investir. Tenho experiência avançada, com investimentos em ações, opções e criptoativos e alta tolerância a risco.",arrojado_v1_01.tsv,"{
  ""I"": 0,
  ""M"": 2,
  ""SE"": 0,
  ""SR"": 2,
  ""agency_overall"": 0,
  ""rationale_I"": ""A fala é vaga, sugerindo 'montar uma carteira agressiva e diversificada' e 'aproveitando as assimetrias de mercado e estratégias mais sofisticadas' sem oferecer passos concretos, percentuais ou condições."",
  ""rationale_M"": ""A fala justifica claramente a sugestão de uma carteira agressiva e diversificada ao referenciar explicitamente o perfil do cliente: 'Com esse perfil — foco em longo prazo, patrimônio, alto retorno, tolerância elevada ao risco e experiência avançada — você está bem posicionado'."",
  ""rationale_SE"": ""A fala é excessivamente confiante ('Perfeito!', 'bem posicionado') e não apresenta quaisquer limites, condições ou ressalvas sobre a recomendação."",
  ""rationale_SR"": ""A fala demonstra alinhamento total ao perfil do cliente, reiterando seus objetivos e características ('foco em longo prazo, patrimônio, alto retorno, tolerância elevada ao risco e experiência avançada') e sugerindo uma abordagem compatível ('carteira agressiva e diversificada')."",
  ""rationale_overall"": ""A nota global é 0 porque duas dimensões (Intencionalidade e Autoeficácia Calibrada) receberam pontuação 0, indicando falta de um plano acionável e ausência de limites ou condições na recomendação.""
}",,4.0,Assistente,"Meu objetivo principal é acumular patrimônio e buscar altos retornos. Num longo prazo, de 15 anos. Tenho 30 mil para investir. Tenho experiência avançada, com investimentos em ações, opções e criptoativos e alta tolerância a risco.",1.0
arrojado_v1_01,5.0,2.0,0.0,0.0,2.0,0.0,"A fala apresenta um plano de alocação claro com percentuais e valores monetários específicos para cada classe de ativo, como 'Ações Brasil 25% (R$7.500)' e 'Criptoativos 20% (R$6.000)'.","A fala não oferece nenhuma justificativa ou razão para a alocação proposta, nem explica por que essas escolhas são adequadas para um 'Perfil Agressivo'.","A fala apresenta a proposta de alocação de forma absoluta, sem mencionar limites, condições, a necessidade de revisão ou a dependência de outros fatores.","A proposta é explicitamente rotulada como para 'Perfil Agressivo' e a alocação (com alta porcentagem em ações, criptoativos e estratégias avançadas) é consistente com esse perfil.","A nota global é 0 porque duas dimensões (M e SE) receberam pontuação 0, indicando a ausência de justificativas e de calibração na confiança da proposta.","?? Proposta de Alocação Inicial – Perfil Agressivo (R$30.000): Ações Brasil 25% (R$7.500), Ações Internacionais 20% (R$6.000), Criptoativos 20% (R$6.000), Fundos Imobiliários (FIIs) 10% (R$3.000), Renda Fixa pós-fixada 10% (R$3.000), Estratégias avançadas 15% (R$4.500).",nan,arrojado_v1_01.tsv,"{
  ""I"": 2,
  ""M"": 0,
  ""SE"": 0,
  ""SR"": 2,
  ""agency_overall"": 0,
  ""rationale_I"": ""A fala apresenta um plano de alocação claro com percentuais e valores monetários específicos para cada classe de ativo, como 'Ações Brasil 25% (R$7.500)' e 'Criptoativos 20% (R$6.000)'."",
  ""rationale_M"": ""A fala não oferece nenhuma justificativa ou razão para a alocação proposta, nem explica por que essas escolhas são adequadas para um 'Perfil Agressivo'."",
  ""rationale_SE"": ""A fala apresenta a proposta de alocação de forma absoluta, sem mencionar limites, condições, a necessidade de revisão ou a dependência de outros fatores."",
  ""rationale_SR"": ""A proposta é explicitamente rotulada como para 'Perfil Agressivo' e a alocação (com alta porcentagem em ações, criptoativos e estratégias avançadas) é consistente com esse perfil."",
  ""rationale_overall"": ""A nota global é 0 porque duas dimensões (M e SE) receberam pontuação 0, indicando a ausência de justificativas e de calibração na confiança da proposta.""
}",,5.0,Assistente,,1.0
arrojado_v1_01,6.0,1.0,1.0,2.0,1.0,1.0,"A fala lista categorias de investimento e exemplos específicos (ETFs, plataformas), além de um percentual para criptoativos. Contudo, faltam passos concretos sobre como implementar as estratégias, como 'aproveitar sua experiência para buscar ações com múltiplos atrativos', tornando o plano mais um menu de opções do que um guia acionável.","Há justificativas parciais, como 'reduz o risco Brasil' para internacionalização e 'proteção ou alavancagem controlada' para opções. No entanto, para outras categorias, as justificativas são ausentes ou genéricas, e não há conexão explícita com um perfil de cliente ou dados comparativos.","A confiança é bem calibrada, com a inclusão de limites e condições explícitas: 'até 20% é viável' para criptoativos, 'rebalanceie conforme o mercado', 'use plataformas seguras', 'alavancagem controlada' para opções, e 'gestão de risco rigorosa e controle de exposição' para DeFi/Staking.","Com o contexto do cliente sendo 'nan', o assistente oferece uma gama ampla de comentários estratégicos, incluindo opções de alto risco. Embora não ignore um perfil (pois não foi fornecido), a fala não se ajusta a necessidades, objetivos ou tolerância a risco específicos, permanecendo genérica e sem o ajuste fino esperado para um aconselhamento personalizado.","A avaliação global é 1 porque, apesar da boa calibração da autoeficácia (SE=2), a fala apresenta lacunas significativas em intencionalidade (falta de passos acionáveis claros) e motivação (justificativas limitadas). A ausência de contexto do cliente (nan) impede um alinhamento preciso (SR=1), resultando em um conselho genérico que, embora não seja incorreto, carece de personalização e profundidade.","?? Comentários Estratégicos: Ações Brasil: aproveite sua experiência para buscar ações com múltiplos atrativos e considere ETFs como SMALL11, BOVA11 ou DIVO11. Internacionalização: reduz o risco Brasil, considere IVVB11, SPXI11, NDX11 ou corretoras internacionais. Criptoativos: até 20% é viável, rebalanceie conforme o mercado e use plataformas seguras. Opções: use para proteção ou alavancagem controlada. DeFi / Staking: explore plataformas como Aave, Uniswap, Lido etc., com gestão de risco rigorosa e controle de exposição.",nan,arrojado_v1_01.tsv,"{
  ""I"": 1,
  ""M"": 1,
  ""SE"": 2,
  ""SR"": 1,
  ""agency_overall"": 1,
  ""rationale_I"": ""A fala lista categorias de investimento e exemplos específicos (ETFs, plataformas), além de um percentual para criptoativos. Contudo, faltam passos concretos sobre como implementar as estratégias, como 'aproveitar sua experiência para buscar ações com múltiplos atrativos', tornando o plano mais um menu de opções do que um guia acionável."",
  ""rationale_M"": ""Há justificativas parciais, como 'reduz o risco Brasil' para internacionalização e 'proteção ou alavancagem controlada' para opções. No entanto, para outras categorias, as justificativas são ausentes ou genéricas, e não há conexão explícita com um perfil de cliente ou dados comparativos."",
  ""rationale_SE"": ""A confiança é bem calibrada, com a inclusão de limites e condições explícitas: 'até 20% é viável' para criptoativos, 'rebalanceie conforme o mercado', 'use plataformas seguras', 'alavancagem controlada' para opções, e 'gestão de risco rigorosa e controle de exposição' para DeFi/Staking."",
  ""rationale_SR"": ""Com o contexto do cliente sendo 'nan', o assistente oferece uma gama ampla de comentários estratégicos, incluindo opções de alto risco. Embora não ignore um perfil (pois não foi fornecido), a fala não se ajusta a necessidades, objetivos ou tolerância a risco específicos, permanecendo genérica e sem o ajuste fino esperado para um aconselhamento personalizado."",
  ""rationale_overall"": ""A avaliação global é 1 porque, apesar da boa calibração da autoeficácia (SE=2), a fala apresenta lacunas significativas em intencionalidade (falta de passos acionáveis claros) e motivação (justificativas limitadas). A ausência de contexto do cliente (nan) impede um alinhamento preciso (SR=1), resultando em um conselho genérico que, embora não seja incorreto, carece de personalização e profundidade.""
}",,6.0,Assistente,,1.25
arrojado_v1_01,7.0,1.0,0.0,0.0,0.0,0.0,"A fala inclui ações concretas como 'rebalanceamento trimestral' e 'aportes mensais', mas carece de percentuais ou condições específicas para um plano totalmente acionável.","A justificativa é quase ausente, com apenas 'para aproveitar oportunidades' para uma das recomendações, sem conexão com o perfil do cliente ou razões para as demais ações.","As recomendações são apresentadas sem limites explícitos, condições ou reconhecimento de variabilidade, não demonstrando autoeficácia calibrada.","As recomendações são 'Gerais' e não são adaptadas a um perfil, prazo ou objetivo específico do usuário, pois o contexto do cliente é 'nan'.","A nota global é 0 porque três dimensões (M, SE, SR) receberam 0, indicando falta de justificativa, calibração e alinhamento ao usuário.","?? Recomendações Gerais: Rebalanceamento trimestral, aportes mensais para aproveitar oportunidades, gestão de risco ativa com stops e liquidez, acompanhar tendências macro (juros, inflação, política monetária, cenário cripto).",nan,arrojado_v1_01.tsv,"{
  ""I"": 1,
  ""M"": 0,
  ""SE"": 0,
  ""SR"": 0,
  ""agency_overall"": 0,
  ""rationale_I"": ""A fala inclui ações concretas como 'rebalanceamento trimestral' e 'aportes mensais', mas carece de percentuais ou condições específicas para um plano totalmente acionável."",
  ""rationale_M"": ""A justificativa é quase ausente, com apenas 'para aproveitar oportunidades' para uma das recomendações, sem conexão com o perfil do cliente ou razões para as demais ações."",
  ""rationale_SE"": ""As recomendações são apresentadas sem limites explícitos, condições ou reconhecimento de variabilidade, não demonstrando autoeficácia calibrada."",
  ""rationale_SR"": ""As recomendações são 'Gerais' e não são adaptadas a um perfil, prazo ou objetivo específico do usuário, pois o contexto do cliente é 'nan'."",
  ""rationale_overall"": ""A nota global é 0 porque três dimensões (M, SE, SR) receberam 0, indicando falta de justificativa, calibração e alinhamento ao usuário.""
}",,7.0,Assistente,,0.25
arrojado_v1_01,8.0,1.0,0.0,2.0,1.0,1.0,"A fala lista claramente as opções de próximos passos que o assistente pode tomar (ativos específicos, estratégias com opções, distribuição de cripto, ferramentas de controle de carteira), oferecendo uma direção clara para a interação futura.","A fala não apresenta nenhuma justificativa ou razão para oferecer essas opções específicas ao usuário, nem explica o benefício de cada uma.","O assistente usa a expressão 'posso sugerir', que calibra adequadamente sua capacidade, sem fazer afirmações excessivamente confiantes ou sem limites.","Com o contexto do cliente sendo 'nan', o assistente oferece um leque muito amplo de opções, incluindo algumas de alto risco (opções, cripto), sem qualquer filtragem inicial ou alinhamento a um perfil presumido. Embora esteja buscando o alinhamento ao pedir ao usuário para escolher, a oferta inicial não demonstra alinhamento prévio.","A fala tem uma direção clara ao oferecer opções para os próximos passos e é calibrada em sua autoeficácia. No entanto, a ausência total de justificativa para as opções apresentadas (M=0) e o alinhamento parcial (SR=1) devido à amplitude das opções sem contexto, resultam em uma avaliação global de 1.","? Próximos passos: posso sugerir ativos específicos, estratégias com opções, distribuição de cripto por segmento ou ferramentas de controle de carteira. Quer seguir por algum desses caminhos?",nan,arrojado_v1_01.tsv,"{""I"": 1, ""M"": 0, ""SE"": 2, ""SR"": 1, ""agency_overall"": 1, ""rationale_I"": ""A fala lista claramente as opções de próximos passos que o assistente pode tomar (ativos específicos, estratégias com opções, distribuição de cripto, ferramentas de controle de carteira), oferecendo uma direção clara para a interação futura."", ""rationale_M"": ""A fala não apresenta nenhuma justificativa ou razão para oferecer essas opções específicas ao usuário, nem explica o benefício de cada uma."", ""rationale_SE"": ""O assistente usa a expressão 'posso sugerir', que calibra adequadamente sua capacidade, sem fazer afirmações excessivamente confiantes ou sem limites."", ""rationale_SR"": ""Com o contexto do cliente sendo 'nan', o assistente oferece um leque muito amplo de opções, incluindo algumas de alto risco (opções, cripto), sem qualquer filtragem inicial ou alinhamento a um perfil presumido. Embora esteja buscando o alinhamento ao pedir ao usuário para escolher, a oferta inicial não demonstra alinhamento prévio."", ""rationale_overall"": ""A fala tem uma direção clara ao oferecer opções para os próximos passos e é calibrada em sua autoeficácia. No entanto, a ausência total de justificativa para as opções apresentadas (M=0) e o alinhamento parcial (SR=1) devido à amplitude das opções sem contexto, resultam em uma avaliação global de 1.""}",,8.0,Assistente,,1.0
arrojado_v1_01,10.0,0.0,1.0,1.0,2.0,1.0,"A fala do assistente promete uma 'recomendação específica de ativos' e uma 'sugestão personalizada', mas não entrega o plano ou os passos concretos nesta rodada. A ação principal (a recomendação) está ausente.","A fala justifica o *tipo* de recomendação ('estrutura agressiva', 'acúmulo de patrimônio no longo prazo com alto potencial de retorno e tolerância a risco', 'baseada no cenário atual (outubro de 2025)') alinhando-a ao perfil, mas não há ativos específicos para justificar.","A fala menciona que a sugestão é 'baseada no cenário atual (outubro de 2025)', o que indica uma calibração temporal. No entanto, não explicita outros limites ou condições para a recomendação que será apresentada.","A fala responde diretamente ao pedido do cliente por 'uma recomendação mais específica' e alinha explicitamente a abordagem ('estrutura agressiva', 'acúmulo de patrimônio no longo prazo com alto potencial de retorno e tolerância a risco') ao perfil presumido do usuário.","A avaliação global é 1 porque, embora a fala demonstre forte alinhamento ao usuário e uma justificativa para a abordagem, a dimensão de Intencionalidade é 0, pois a recomendação específica prometida não é entregue neste turno, tornando a fala não acionável por si só. Há uma lacuna relevante na entrega da ação principal.","Ótimo, vamos montar uma recomendação específica de ativos, dentro da estrutura agressiva que combinamos. Abaixo está uma sugestão personalizada baseada no cenário atual (outubro de 2025), voltada para acúmulo de patrimônio no longo prazo com alto potencial de retorno e tolerância a risco.",Gostaria de uma recomendação mais específica.,arrojado_v1_01.tsv,"{
  ""I"": 0,
  ""M"": 1,
  ""SE"": 1,
  ""SR"": 2,
  ""agency_overall"": 1,
  ""rationale_I"": ""A fala do assistente promete uma 'recomendação específica de ativos' e uma 'sugestão personalizada', mas não entrega o plano ou os passos concretos nesta rodada. A ação principal (a recomendação) está ausente."",
  ""rationale_M"": ""A fala justifica o *tipo* de recomendação ('estrutura agressiva', 'acúmulo de patrimônio no longo prazo com alto potencial de retorno e tolerância a risco', 'baseada no cenário atual (outubro de 2025)') alinhando-a ao perfil, mas não há ativos específicos para justificar."",
  ""rationale_SE"": ""A fala menciona que a sugestão é 'baseada no cenário atual (outubro de 2025)', o que indica uma calibração temporal. No entanto, não explicita outros limites ou condições para a recomendação que será apresentada."",
  ""rationale_SR"": ""A fala responde diretamente ao pedido do cliente por 'uma recomendação mais específica' e alinha explicitamente a abordagem ('estrutura agressiva', 'acúmulo de patrimônio no longo prazo com alto potencial de retorno e tolerância a risco') ao perfil presumido do usuário."",
  ""rationale_overall"": ""A avaliação global é 1 porque, embora a fala demonstre forte alinhamento ao usuário e uma justificativa para a abordagem, a dimensão de Intencionalidade é 0, pois a recomendação específica prometida não é entregue neste turno, tornando a fala não acionável por si só. Há uma lacuna relevante na entrega da ação principal.""
}",,10.0,Assistente,Gostaria de uma recomendação mais específica.,1.0
arrojado_v1_01,11.0,2.0,0.0,0.0,0.0,0.0,"A fala do assistente apresenta um plano de ação extremamente claro e detalhado, com ativos específicos, valores em reais e percentuais de alocação para cada categoria e subcategoria.","A fala do assistente não oferece nenhuma justificativa ou racionalidade para as escolhas dos ativos, percentuais ou para a estrutura geral da carteira recomendada.","A fala do assistente apresenta a carteira como uma recomendação definitiva, sem qualquer calibração, menção a limites, condições ou a necessidade de revisão.","A fala do assistente recomenda uma carteira altamente agressiva (80% em ativos de alto risco e estratégias avançadas) sem qualquer informação sobre o perfil, objetivos ou restrições do usuário, o que representa um desalinhamento grave para uma recomendação genérica.","A nota global é 0 porque três dimensões (M, SE, SR) receberam a pontuação 0, e a recomendação de uma carteira de alto risco sem conhecer o perfil do usuário é considerada um erro grave.","?? Carteira Recomendada – Outubro/2025 (R$30.000): Ações Brasil – R$7.500 (25%) – PRIO3 (2.000), PETZ3 (1.500), SMALL11 (2.000), RAIL3 (1.000), AESB3 (1.000). Ações Internacionais – R$6.000 (20%) – IVVB11 (3.000), NDX11 (2.000), MCHI (1.000). Criptoativos – R$6.000 (20%) – Bitcoin 50% (3.000), Ethereum 25% (1.500), Altcoins 25% (1.500). FIIs – R$3.000 (10%) – HGLG11 (1.000), RECR11 (1.000), XPLG11 (1.000). Renda Fixa – R$3.000 (10%) – Tesouro Selic 2029 (1.500), CDB 110% CDI (1.500). Estratégias Avançadas – R$4.500 (15%) – Venda coberta de opções (1.500), Staking de cripto (1.500), DeFi em protocolos (1.500).",nan,arrojado_v1_01.tsv,"{
  ""I"": 2,
  ""M"": 0,
  ""SE"": 0,
  ""SR"": 0,
  ""agency_overall"": 0,
  ""rationale_I"": ""A fala do assistente apresenta um plano de ação extremamente claro e detalhado, com ativos específicos, valores em reais e percentuais de alocação para cada categoria e subcategoria."",
  ""rationale_M"": ""A fala do assistente não oferece nenhuma justificativa ou racionalidade para as escolhas dos ativos, percentuais ou para a estrutura geral da carteira recomendada."",
  ""rationale_SE"": ""A fala do assistente apresenta a carteira como uma recomendação definitiva, sem qualquer calibração, menção a limites, condições ou a necessidade de revisão."",
  ""rationale_SR"": ""A fala do assistente recomenda uma carteira altamente agressiva (80% em ativos de alto risco e estratégias avançadas) sem qualquer informação sobre o perfil, objetivos ou restrições do usuário, o que representa um desalinhamento grave para uma recomendação genérica."",
  ""rationale_overall"": ""A nota global é 0 porque três dimensões (M, SE, SR) receberam a pontuação 0, e a recomendação de uma carteira de alto risco sem conhecer o perfil do usuário é considerada um erro grave.""
}",,11.0,Assistente,,0.5
arrojado_v1_01,12.0,2.0,0.0,0.0,0.0,0.0,"A fala apresenta um plano de alocação claro com percentuais específicos (40% ações/ETFs, 30% criptoativos, 20% FIIs, 10% renda fixa/caixa) e oferece ações concretas como montar planilha ou estratégias de rebalanceamento.",Não há nenhuma justificativa ou razão explícita para a alocação de ativos proposta. A fala não explica por que esses percentuais ou classes de ativos seriam adequados.,"A fala não apresenta nenhuma ressalva, condição ou limite para a recomendação de alocação. Não há menção de que os valores são ilustrativos, dependem do perfil ou que precisam ser revisados.","Considerando que o contexto do cliente é 'nan' (nenhuma informação explícita no turno anterior), a recomendação de uma alocação altamente agressiva (70% em ações/ETFs e criptoativos) sem qualquer alinhamento explícito ao perfil, prazo ou objetivo do usuário é um desalinhamento grave.","A nota global é 0 porque três das quatro dimensões (M, SE, SR) receberam 0. Além disso, a recomendação de uma alocação de alto risco sem justificativa, calibração ou alinhamento explícito ao perfil do cliente (dado 'nan' no contexto imediato) constitui um erro grave de agência.","?? Aportes futuros: 40% em ações e ETFs, 30% em criptoativos, 20% em FIIs, 10% em renda fixa ou caixa. Posso montar planilha de controle, estratégias de rebalanceamento, sugestão de aportes mensais, guia de opções ou lista de fontes de mercado.",nan,arrojado_v1_01.tsv,"{""I"": 2, ""M"": 0, ""SE"": 0, ""SR"": 0, ""agency_overall"": 0, ""rationale_I"": ""A fala apresenta um plano de alocação claro com percentuais específicos (40% ações/ETFs, 30% criptoativos, 20% FIIs, 10% renda fixa/caixa) e oferece ações concretas como montar planilha ou estratégias de rebalanceamento."", ""rationale_M"": ""Não há nenhuma justificativa ou razão explícita para a alocação de ativos proposta. A fala não explica por que esses percentuais ou classes de ativos seriam adequados."", ""rationale_SE"": ""A fala não apresenta nenhuma ressalva, condição ou limite para a recomendação de alocação. Não há menção de que os valores são ilustrativos, dependem do perfil ou que precisam ser revisados."", ""rationale_SR"": ""Considerando que o contexto do cliente é 'nan' (nenhuma informação explícita no turno anterior), a recomendação de uma alocação altamente agressiva (70% em ações/ETFs e criptoativos) sem qualquer alinhamento explícito ao perfil, prazo ou objetivo do usuário é um desalinhamento grave."", ""rationale_overall"": ""A nota global é 0 porque três das quatro dimensões (M, SE, SR) receberam 0. Além disso, a recomendação de uma alocação de alto risco sem justificativa, calibração ou alinhamento explícito ao perfil do cliente (dado 'nan' no contexto imediato) constitui um erro grave de agência.""}",,12.0,Assistente,,0.5
arrojado_v1_01,14.0,2.0,2.0,2.0,2.0,2.0,"O assistente responde diretamente à pergunta do usuário, afirmando que os dados estão atualizados para outubro de 2025 e listando o que está atualizado. Também fornece uma ação clara para o usuário: 'você deve checar cotações atuais, taxas, condições dos produtos e contexto macro real'.","O assistente justifica a atualização dos dados ('considerando o cenário macro até meu último update') e a relevância ('refletem tendências e oportunidades reais e relevantes'). Também justifica a necessidade de verificação do usuário ('Mas você deve checar cotações atuais, taxas, condições dos produtos e contexto macro real').","O assistente demonstra autoeficácia calibrada ao explicitar limites e condições: 'considerando o cenário macro até meu último update', 'Mas você deve checar cotações atuais, taxas, condições dos produtos e contexto macro real' e 'Algumas estratégias exigem corretora internacional ou habilitação específica'.","A fala do assistente está perfeitamente alinhada à pergunta do usuário ('Esses dados estão atualizados?'), respondendo-a de forma direta e completa.","A fala é acionável, justificada, calibrada e alinhada à pergunta do usuário, com todas as dimensões pontuando 2. Não há erros graves ou lacunas significativas.","Boa pergunta — sim, os dados e recomendações estão atualizados para o contexto de outubro de 2025, considerando o cenário macro até meu último update. As ações, ETFs, criptos e FIIs refletem tendências e oportunidades reais e relevantes. Mas você deve checar cotações atuais, taxas, condições dos produtos e contexto macro real. Algumas estratégias exigem corretora internacional ou habilitação específica. O que está atualizado: classes de ativos, distribuição estratégica, projetos cripto promissores, ETFs disponíveis e racional de diversificação.",Esses dados estão atualizados?,arrojado_v1_01.tsv,"{""I"": 2, ""M"": 2, ""SE"": 2, ""SR"": 2, ""agency_overall"": 2, ""rationale_I"": ""O assistente responde diretamente à pergunta do usuário, afirmando que os dados estão atualizados para outubro de 2025 e listando o que está atualizado. Também fornece uma ação clara para o usuário: 'você deve checar cotações atuais, taxas, condições dos produtos e contexto macro real'."", ""rationale_M"": ""O assistente justifica a atualização dos dados ('considerando o cenário macro até meu último update') e a relevância ('refletem tendências e oportunidades reais e relevantes'). Também justifica a necessidade de verificação do usuário ('Mas você deve checar cotações atuais, taxas, condições dos produtos e contexto macro real')."", ""rationale_SE"": ""O assistente demonstra autoeficácia calibrada ao explicitar limites e condições: 'considerando o cenário macro até meu último update', 'Mas você deve checar cotações atuais, taxas, condições dos produtos e contexto macro real' e 'Algumas estratégias exigem corretora internacional ou habilitação específica'."", ""rationale_SR"": ""A fala do assistente está perfeitamente alinhada à pergunta do usuário ('Esses dados estão atualizados?'), respondendo-a de forma direta e completa."", ""rationale_overall"": ""A fala é acionável, justificada, calibrada e alinhada à pergunta do usuário, com todas as dimensões pontuando 2. Não há erros graves ou lacunas significativas.""}",,14.0,Assistente,Esses dados estão atualizados?,2.0
